class,feature,mean_abs_shap,rank
solar_array_degradation,physics_pred_battery_voltage_sensor_drift,0.0009386865211894152,42
solar_array_degradation,physics_pred_telemetry_dropout,0.003493689346807726,29
solar_array_degradation,ml_power_ratio,0.00708445319963716,18
solar_array_degradation,ml_battery_ratio,0.004464333887762303,24
solar_array_degradation,ml_thermal_ratio,0.011446723558054957,10
solar_array_degradation,ml_wheel_ratio,0.003529112732323718,28
solar_array_degradation,ml_max_ratio,0.005461920221233189,22
solar_array_degradation,ml_persistent_anomaly,0.00045519022215245535,47
solar_array_degradation,missing_battery_soc_measured,0.0020418233269793393,37
solar_array_degradation,missing_battery_voltage_measured,0.0023107683862251217,34
solar_array_degradation,missing_battery_current_measured,0.0025312963680995107,31
solar_array_degradation,missing_battery_temp_measured,0.0024514716632830667,32
solar_array_degradation,missing_electronics_temp_measured,0.0022906853485659315,35
solar_array_degradation,missing_wheel_speed_measured,0.001609573425703591,40
solar_array_degradation,missing_wheel_current_measured,0.0021174909127123494,36
solar_array_degradation,missing_wheel_temp_measured,0.002402228466226644,33
solar_array_degradation,missing_count,0.0017856060217589977,38
telemetry_dropout,in_sunlight,5.876686625812151e-06,38
telemetry_dropout,solar_power_w,1.3713334571492414e-05,33
telemetry_dropout,load_power_w,2.2608667201293027e-19,45
telemetry_dropout,battery_soc_measured,0.0,46
telemetry_dropout,battery_voltage_measured,3.4130244964211817e-06,40
telemetry_dropout,battery_current_measured,9.971227695125815e-06,35
telemetry_dropout,battery_temp_measured,0.0003605396496722254,20
telemetry_dropout,electronics_temp_measured,0.00022934008850720316,25
telemetry_dropout,wheel_target_speed_rpm,1.0066857260110145e-18,44
telemetry_dropout,wheel_speed_measured,2.1092519307540002e-07,43
telemetry_dropout,wheel_current_measured,0.0,47
telemetry_dropout,wheel_temp_measured,8.662015216272657e-06,37
telemetry_dropout,battery_soc_rate,9.040610025711602e-06,36
telemetry_dropout,battery_voltage_rate,0.0,48
telemetry_dropout,battery_temp_rate,0.0,49
telemetry_dropout,electronics_temp_rate,0.0,50
telemetry_dropout,wheel_speed_rate,0.0,51
telemetry_dropout,wheel_current_rate,0.0,52
telemetry_dropout,wheel_temp_rate,0.0,53
telemetry_dropout,wheel_tracking_error_rpm,0.0,54
telemetry_dropout,solar_relative_residual,3.600464490804965e-05,30
