scenario_id,fault_type,rank,feature,shap_value
32,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.060136247697018114
32,battery_degradation,5,battery_temp_measured,0.044595245543978985
33,battery_degradation,1,physics_confidence,0.11546070579645279
33,battery_degradation,2,physics_pred_battery_degradation,0.07812602159790182
33,battery_degradation,3,battery_temp_measured,0.06558138901769242
33,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.056560800627936336
33,battery_degradation,5,rule_pred_battery_voltage_sensor_drift,0.037515097528144
34,battery_degradation,1,physics_confidence,0.073465380399049
34,battery_degradation,2,physics_pred_battery_degradation,0.0644125523357445
34,battery_degradation,3,physics_pred_reaction_wheel_degradation,0.06069971013144097
34,battery_degradation,4,battery_temp_measured,0.05873798990512895
34,battery_degradation,5,battery_innovation_v,0.04883005250842449
35,battery_degradation,1,rule_pred_battery_voltage_sensor_drift,0.07169351344569759
35,battery_degradation,2,battery_soc_measured,0.069272408243242
35,battery_degradation,3,battery_temp_measured,0.06807926927141056
35,battery_degradation,4,battery_voltage_measured,0.06774182305230726
35,battery_degradation,5,rule_confidence,0.05480375881308316
36,battery_degradation,1,physics_confidence,0.060371788424225206
36,battery_degradation,2,physics_pred_reaction_wheel_degradation,0.05215416154364595
36,battery_degradation,3,physics_pred_battery_degradation,0.05175368378095784
36,battery_degradation,4,rule_pred_battery_voltage_sensor_drift,0.040371054817356776
36,battery_degradation,5,ml_battery_ratio,0.03354442664518658
37,battery_degradation,1,rule_pred_battery_voltage_sensor_drift,0.07379202414696634
37,battery_degradation,2,battery_soc_measured,0.07306734509471716
37,battery_degradation,3,battery_temp_measured,0.07253211262737923
37,battery_degradation,4,battery_voltage_measured,0.07133944015746614
37,battery_degradation,5,ml_battery_ratio,0.04977595091376773
38,battery_degradation,1,rule_pred_battery_voltage_sensor_drift,0.0653669187834133
38,battery_degradation,2,battery_soc_measured,0.06454172808390603
38,battery_degradation,3,battery_voltage_measured,0.06029918688844932
38,battery_degradation,4,rule_confidence,0.05461325092030522
38,battery_degradation,5,battery_temp_measured,0.05102916115246041
39,battery_degradation,1,physics_confidence,0.09629072213719518
39,battery_degradation,2,battery_innovation_v,0.07314469994330507
39,battery_degradation,3,physics_pred_battery_degradation,0.06584291667180563
39,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.04819650329233293
39,battery_degradation,5,rule_pred_battery_voltage_sensor_drift,0.03617851389727658
40,battery_degradation,1,physics_confidence,0.060111027974571976
40,battery_degradation,2,battery_temp_measured,0.055994633309527246
40,battery_degradation,3,physics_pred_reaction_wheel_degradation,0.055462415367631614
40,battery_degradation,4,physics_pred_battery_degradation,0.05421862720839338
40,battery_degradation,5,rule_pred_battery_voltage_sensor_drift,0.041778854136393005
41,thermal_anomaly,1,electronics_temp_residual_c,0.19043030886699688
41,thermal_anomaly,2,battery_temp_residual_c,0.15084661094880733
41,thermal_anomaly,3,physics_pred_thermal_anomaly,0.1279734569200978
41,thermal_anomaly,4,electronics_temp_measured,0.0964103054798903
41,thermal_anomaly,5,battery_temp_measured,0.07086165268333153
42,thermal_anomaly,1,electronics_temp_residual_c,0.20867247364850602
42,thermal_anomaly,2,battery_temp_residual_c,0.15936802820836027
42,thermal_anomaly,3,physics_pred_thermal_anomaly,0.13628050442013276
42,thermal_anomaly,4,physics_confidence,0.022322560683223715
42,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.02220180492148389
43,thermal_anomaly,1,electronics_temp_residual_c,0.19084000504472157
43,thermal_anomaly,2,battery_temp_residual_c,0.15280406006789757
43,thermal_anomaly,3,physics_pred_thermal_anomaly,0.12461510133313693
43,thermal_anomaly,4,electronics_temp_measured,0.09441226235035846
43,thermal_anomaly,5,battery_temp_measured,0.0728034311486889
44,thermal_anomaly,1,electronics_temp_residual_c,0.207596412745402
44,thermal_anomaly,2,battery_temp_residual_c,0.1614999667707429
44,thermal_anomaly,3,physics_pred_thermal_anomaly,0.13249653960658994
44,thermal_anomaly,4,rule_pred_battery_voltage_sensor_drift,0.02224512736803385
44,thermal_anomaly,5,physics_confidence,0.021437657128986255
45,thermal_anomaly,1,electronics_temp_residual_c,0.20668293058866313
45,thermal_anomaly,2,battery_temp_residual_c,0.15157407874571616
45,thermal_anomaly,3,physics_pred_thermal_anomaly,0.12893684241137401
45,thermal_anomaly,4,electronics_temp_measured,0.09866117872530605
45,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.023831804671642733
46,thermal_anomaly,1,electronics_temp_residual_c,0.2093251345114752
46,thermal_anomaly,2,battery_temp_residual_c,0.157959745330331
46,thermal_anomaly,3,physics_pred_thermal_anomaly,0.1324551447269962
46,thermal_anomaly,4,rule_pred_battery_voltage_sensor_drift,0.020534278387197888
46,thermal_anomaly,5,physics_detected,0.02016068725557825
47,thermal_anomaly,1,electronics_temp_residual_c,0.20377513214570497
47,thermal_anomaly,2,battery_temp_residual_c,0.16368265313534439
47,thermal_anomaly,3,physics_pred_thermal_anomaly,0.1392536992965694
47,thermal_anomaly,4,physics_confidence,0.020399341451941343
47,thermal_anomaly,5,rule_pred_battery_voltage_sensor_drift,0.020134248929670605
48,thermal_anomaly,1,electronics_temp_residual_c,0.2159477190323979
48,thermal_anomaly,2,battery_temp_residual_c,0.1640986480483904
48,thermal_anomaly,3,physics_pred_thermal_anomaly,0.12686748945056206
48,thermal_anomaly,4,rule_pred_battery_voltage_sensor_drift,0.024726391825137122
48,thermal_anomaly,5,physics_pred_reaction_wheel_degradation,0.021982602199473573
49,thermal_anomaly,1,electronics_temp_residual_c,0.21221046121547166
49,thermal_anomaly,2,physics_pred_thermal_anomaly,0.11788146329235573
49,thermal_anomaly,3,rule_pred_battery_voltage_sensor_drift,0.024746252930691083
49,thermal_anomaly,4,wheel_temp_measured,0.021448387853241484
