scenario_id,fault_type,severity,profile,noise_scale,fault_start_time_h,active_samples,rule_detection_recall,model_detection_recall,hybrid_detection_recall,hybrid_prefault_alarms,hybrid_prefault_fpr,raw_diagnosis_accuracy,selective_coverage,accepted_diagnosis_accuracy,operational_coverage,operational_accuracy,end_to_end_correct_fraction,scenario_correctly_diagnosed,first_correct_diagnosis_time_h,diagnosis_delay_min,severity_bin,noise_bin
49,thermal_anomaly,0.7951958587648988,abrupt,0.832599089248062,1.9696781589797,242,0.756198347107438,0.9793388429752066,0.9793388429752066,0,0.0,0.987603305785124,0.987603305785124,0.9916317991631799,0.9793388429752066,1.0,0.9793388429752066,True,2.066666666666667,5.819310461218019,0.60-0.80,0.75-1.00
50,thermal_anomaly,0.6439404214105036,gradual,1.4820754765178012,2.7441394819056777,196,0.4897959183673469,0.8010204081632653,0.8010204081632653,2,0.012121212121212121,0.8724489795918368,0.8112244897959183,1.0,0.8010204081632653,1.0,0.8010204081632653,True,3.4,39.351631085659335,0.60-0.80,1.25-1.50
51,thermal_anomaly,0.7921041659167323,gradual,1.3390755010949262,2.616911403555741,203,0.6600985221674877,0.8916256157635468,0.8916256157635468,0,0.0,0.916256157635468,0.8916256157635468,1.0,0.8916256157635468,1.0,0.8916256157635468,True,3.0,22.98531578665555,0.60-0.80,1.25-1.50
52,thermal_anomaly,0.5089635715974086,abrupt,1.406744888672384,1.901060713366472,246,0.6097560975609756,0.9471544715447154,0.9471544715447154,0,0.0,0.9715447154471545,0.9552845528455285,1.0,0.943089430894309,1.0,0.943089430894309,True,2.1333333333333333,13.936357198011674,0.40-0.60,1.25-1.50
53,thermal_anomaly,0.2277122171260587,gradual,1.3029790689654457,2.5848917723927425,205,0.004878048780487805,0.7268292682926829,0.7268292682926829,0,0.0,0.7902439024390244,0.7414634146341463,1.0,0.7268292682926829,1.0,0.7268292682926829,True,3.533333333333333,56.906493656435444,0.20-0.40,1.25-1.50
54,thermal_anomaly,0.2061391412940021,abrupt,0.998249578627866,2.6828385640696006,200,0.0,0.86,0.86,0,0.0,0.89,0.855,1.0,0.855,1.0,0.855,True,3.15,28.029686155823956,0.20-0.40,0.75-1.00
55,thermal_anomaly,0.6535692994141874,abrupt,0.8370785520719333,2.322537376977248,221,0.6832579185520362,0.9773755656108597,0.9773755656108597,0,0.0,0.9909502262443439,0.9683257918552036,1.0,0.9683257918552036,1.0,0.9683257918552036,True,2.45,7.647757381365121,0.60-0.80,0.75-1.00
56,thermal_anomaly,0.7278003513785443,gradual,1.141569079943083,3.2760642399739286,164,0.47560975609756095,0.7987804878048781,0.7987804878048781,0,0.0,0.8536585365853658,0.8292682926829268,0.9852941176470589,0.7987804878048781,1.0,0.7987804878048781,True,3.8333333333333335,33.43614560156429,0.60-0.80,1.00-1.25
57,thermal_anomaly,0.4503064606328543,gradual,1.0730302528086022,3.0489375459509587,178,0.2640449438202247,0.7865168539325843,0.7865168539325843,0,0.0,0.8202247191011236,0.8370786516853933,0.9395973154362416,0.7808988764044944,1.0,0.7808988764044944,True,3.683333333333333,38.06374724294247,0.40-0.60,1.00-1.25
58,thermal_anomaly,0.2673277544409908,abrupt,1.1325919397452502,2.4940452314008352,211,0.0,0.919431279620853,0.919431279620853,0,0.0,0.9383886255924171,0.909952606635071,1.0,0.909952606635071,1.0,0.909952606635071,True,2.783333333333333,17.35728611594988,0.20-0.40,1.00-1.25
59,thermal_anomaly,0.6454905270039444,abrupt,0.7569079934974283,2.915355795800741,186,0.6344086021505376,0.956989247311828,0.956989247311828,0,0.0,0.9731182795698925,0.956989247311828,1.0,0.956989247311828,1.0,0.956989247311828,True,3.05,8.078652251955543,0.60-0.80,0.75-1.00
60,thermal_anomaly,0.3920719805105231,gradual,1.0942512272568123,1.87913398374441,248,0.38306451612903225,0.875,0.875,0,0.0,0.9354838709677419,0.907258064516129,0.9777777777777777,0.875,1.0,0.875,True,2.4,31.25196097533539,0.20-0.40,1.00-1.25
61,reaction_wheel_degradation,0.309809248899257,gradual,1.413838279518862,1.6009178972209182,264,0.15151515151515152,0.38636363636363635,0.4696969696969697,2,0.020618556701030927,0.5833333333333334,0.42803030303030304,0.8495575221238938,0.36363636363636365,1.0,0.36363636363636365,True,2.083333333333333,28.944926166744892,0.20-0.40,1.25-1.50
62,reaction_wheel_degradation,0.4397581035350181,gradual,0.8140171212948634,1.886339951397319,247,0.25101214574898784,0.9230769230769231,0.9230769230769231,0,0.0,0.9352226720647774,0.9352226720647774,0.9826839826839827,0.9190283400809717,1.0,0.9190283400809717,True,2.0166666666666666,7.819602916160862,0.40-0.60,0.75-1.00
63,reaction_wheel_degradation,0.6960281720952892,gradual,1.1384498324517491,3.1829731168073643,170,0.31176470588235294,0.8117647058823529,0.8117647058823529,0,0.0,0.8352941176470589,0.8117647058823529,0.9782608695652174,0.7941176470588235,1.0,0.7941176470588235,True,3.45,16.021612991558154,0.60-0.80,1.00-1.25
64,reaction_wheel_degradation,0.4844217333556942,gradual,0.9824728163784012,2.130370206837421,233,0.24034334763948498,0.8369098712446352,0.8369098712446352,0,0.0,0.871244635193133,0.8412017167381974,0.9948979591836735,0.8369098712446352,1.0,0.8369098712446352,True,2.5166666666666666,23.177787589754733,0.40-0.60,0.75-1.00
65,reaction_wheel_degradation,0.439231361865161,gradual,1.0512637266937577,3.2635421616966225,165,0.21818181818181817,0.6484848484848484,0.6545454545454545,0,0.0,0.6787878787878788,0.6787878787878788,0.9464285714285714,0.6424242424242425,1.0,0.6424242424242425,True,3.633333333333333,22.187470298202623,0.40-0.60,1.00-1.25
66,reaction_wheel_degradation,0.7764132212166428,gradual,1.431265095790742,2.430703434151445,215,0.3581395348837209,0.7813953488372093,0.7813953488372093,1,0.00684931506849315,0.8232558139534883,0.7674418604651163,1.0,0.7674418604651163,1.0,0.7674418604651163,True,2.85,25.157793950913316,0.60-0.80,1.25-1.50
