true_label,predicted_label,baseline_probability,top5_ablated_probability,random5_ablated_probability,top5_probability_drop,random5_probability_drop,top5_larger_drop,top5_prediction_flip,random5_prediction_flip
thermal_anomaly,thermal_anomaly,1.0,0.07545295513465264,0.9809640718562874,0.9245470448653473,0.019035928143712577,True,True,False
thermal_anomaly,thermal_anomaly,0.9956831233321525,0.07134063538066085,0.9963412853612663,0.9243424879514917,-0.0006581620291138401,True,True,False
thermal_anomaly,thermal_anomaly,0.99839279901684,0.06373345918235153,0.9982739928736929,0.9346593398344885,0.0001188061431470766,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.074258223478649,1.0,0.925741776521351,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.986165095285308,0.07110328220688993,0.9862215338594154,0.9150618130784182,-5.6438574107309236e-05,True,True,False
thermal_anomaly,thermal_anomaly,0.9981017963225561,0.07554856146631866,0.982810999964487,0.9225532348562375,0.01529079635806918,True,True,False
thermal_anomaly,thermal_anomaly,0.9963175910956349,0.07698851232146033,0.9803175910956349,0.9193290787741746,0.016000000000000014,True,True,False
thermal_anomaly,thermal_anomaly,0.9986918714555766,0.06578533395196749,1.0,0.9329065375036091,-0.0013081285444234148,True,True,False
thermal_anomaly,thermal_anomaly,0.9538953041512322,0.06549331889552887,0.9308316098837163,0.8884019852557034,0.023063694267515977,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07636611564323169,0.998,0.9236338843567683,0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07538325850037456,0.9887223382045929,0.9246167414996255,0.011277661795407123,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07338325850037455,0.998,0.9266167414996255,0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07580536797968028,1.0,0.9241946320203197,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9990252100840336,0.07690808883153522,0.9990252100840337,0.9221171212524983,-1.1102230246251565e-16,True,True,False
thermal_anomaly,thermal_anomaly,0.998,0.07598307882982785,0.9604074828879681,0.9220169211701721,0.03759251711203193,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.08068976703309154,1.0,0.9193102329669085,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9987514910536779,0.07924898990506443,0.992,0.9195025011486134,0.006751491053677894,True,True,False
thermal_anomaly,thermal_anomaly,0.9968466003726784,0.07945470901825638,0.9948466003726784,0.917391891354422,0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07256074766355142,1.0,0.9274392523364485,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9514680381319615,0.06786342513781872,0.9488316098837163,0.8836046129941427,0.0026364282482451706,True,True,False
thermal_anomaly,thermal_anomaly,0.9964157822555946,0.07296756323669323,0.997723910800018,0.9234482190189013,-0.0013081285444234148,True,True,False
thermal_anomaly,thermal_anomaly,0.9866014523221813,0.07457206688569207,0.985584503169639,0.9120293854364893,0.0010169491525423568,True,True,False
thermal_anomaly,thermal_anomaly,0.9950365246973326,0.06932271532243289,0.9932386590350603,0.9257138093748998,0.0017978656622723577,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.992294661478684,0.16038252606151726,0.9925945255866021,0.8319121354171667,-0.00029986410791815743,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9976061681425502,0.18928494582117938,0.9976061681425502,0.8083212223213708,0.0,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9736458131320171,0.10873326305398143,0.9730348074394175,0.8649125500780357,0.0006110056925996421,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.8708800966503025,0.057126174743266846,0.8778368445429726,0.8137539219070357,-0.00695674789267009,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9165508443473551,0.08595607816596217,0.9910878750020248,0.8305947661813929,-0.07453703065466966,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9937027450705037,0.10103689863095974,0.9937027450705037,0.8926658464395439,0.0,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.7396250898607273,0.06124393140508573,0.7406575382383084,0.6783811584556415,-0.0010324483775810966,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9370184061086779,0.06971861713083262,0.9350184061086779,0.8672997889778453,0.0020000000000000018,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9901566446541672,0.101509288219992,0.9888122488333292,0.8886473564341753,0.001344395820838007,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.928229711611601,0.12641829364958002,0.928229711611601,0.8018114179620209,0.0,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9957943098324579,0.245268071879122,0.9577943098324578,0.7505262379533358,0.038000000000000034,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9946558207528181,0.2514620270454259,0.9946558207528181,0.7431937937073922,0.0,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9052005148328122,0.24660190713569655,0.9052005148328122,0.6585986076971156,0.0,True,False,False
reaction_wheel_degradation,reaction_wheel_degradation,1.0,0.24199526077138775,0.962,0.7580047392286122,0.038000000000000034,True,True,False
reaction_wheel_degradation,reaction_wheel_degradation,0.9970211515296564,0.2514634443265314,0.9970211515296564,0.745557707203125,0.0,True,True,False
