scenario_id,fault_type,time_h,prediction,confidence,severity,noise_scale,profile,estimator_prediction,original_probability,top5_probability_drop,random5_probability_drop,top5_beats_random,top5_prediction_flip,random5_flip_rate,reconstruction_error,top1_feature,top5_features,top5_positive_strength,class_consensus_overlap,severity_bin,noise_bin
46,thermal_anomaly,3.0166666666666666,thermal_anomaly,0.7875702837445006,0.4925348471822232,1.259122347415162,gradual,thermal_anomaly,0.7875702837445006,0.7356044784527789,-0.007674522835410857,True,True,0.0,5.551115123125783e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|rule_pred_battery_voltage_sensor_drift|physics_detected,0.5404349902115786,0.8,0.40-0.60,1.25-1.50
47,thermal_anomaly,2.8833333333333333,thermal_anomaly,0.7684180747162417,0.461140824443969,1.4952426400609842,gradual,thermal_anomaly,0.7684180747162417,0.7388471762228477,1.9092915820917433e-05,True,True,0.0,6.661338147750939e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|physics_confidence|rule_pred_battery_voltage_sensor_drift,0.5472450749592307,1.0,0.40-0.60,1.25-1.50
48,thermal_anomaly,2.35,thermal_anomaly,0.9194255219354536,0.2149541614610631,0.8382848099867584,gradual,thermal_anomaly,0.9194255219354536,0.7912235778460179,0.016390223930568604,True,True,0.0,2.220446049250313e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|rule_pred_battery_voltage_sensor_drift|physics_pred_reaction_wheel_degradation,0.553622850555961,0.8,0.20-0.40,0.75-1.00
49,thermal_anomaly,2.066666666666667,thermal_anomaly,0.7651709286510272,0.7951958587648988,0.832599089248062,abrupt,thermal_anomaly,0.7651709286510272,0.5365997303179477,0.028131733498225876,True,True,0.0,1.5543122344752192e-15,electronics_temp_residual_c,electronics_temp_residual_c|physics_pred_thermal_anomaly|rule_pred_battery_voltage_sensor_drift|wheel_temp_measured|physics_pred_reaction_wheel_degradation,0.3956183140099075,0.6,0.60-0.80,0.75-1.00
50,thermal_anomaly,3.4,thermal_anomaly,0.9664309225039184,0.6439404214105036,1.4820754765178012,gradual,thermal_anomaly,0.9664309225039185,0.9185090146347602,-0.001190739338134028,True,True,0.0,1.1102230246251565e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|electronics_temp_measured|battery_temp_measured,0.6443241244981529,0.6,0.60-0.80,1.25-1.50
51,thermal_anomaly,3.0,thermal_anomaly,0.7614199476428745,0.7921041659167323,1.3390755010949262,gradual,thermal_anomaly,0.7614199476428745,0.7086744650019785,-0.01137307472642667,True,True,0.0,7.771561172376096e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|physics_confidence|rule_pred_battery_voltage_sensor_drift,0.5318588526927052,1.0,0.60-0.80,1.25-1.50
52,thermal_anomaly,2.1333333333333333,thermal_anomaly,0.8517746087819476,0.5089635715974086,1.406744888672384,abrupt,thermal_anomaly,0.8517746087819476,0.7297608117556789,0.0026020704199454237,True,True,0.0,4.440892098500626e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|rule_pred_battery_voltage_sensor_drift|physics_confidence,0.5404063686355443,1.0,0.40-0.60,1.25-1.50
53,thermal_anomaly,3.533333333333333,thermal_anomaly,0.9402170541768348,0.2277122171260587,1.3029790689654457,gradual,thermal_anomaly,0.9402170541768348,0.9060459144333286,-0.0017544077226811395,True,True,0.0,1.1102230246251565e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|electronics_temp_measured|rule_pred_battery_voltage_sensor_drift,0.62576466089506,0.8,0.20-0.40,1.25-1.50
54,thermal_anomaly,3.15,thermal_anomaly,0.7792367054717095,0.2061391412940021,0.998249578627866,abrupt,thermal_anomaly,0.7792367054717095,0.7612941571158349,-0.0036172814313638947,True,True,0.0,1.1102230246251565e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|rule_pred_battery_voltage_sensor_drift|physics_confidence,0.5361740952516102,1.0,0.20-0.40,0.75-1.00
55,thermal_anomaly,2.45,thermal_anomaly,0.8254170647323754,0.6535692994141874,0.8370785520719333,abrupt,thermal_anomaly,0.8254170647323754,0.7372424912334983,-0.004581853006294057,True,True,0.0,4.440892098500626e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|physics_detected|physics_confidence,0.5412834511186351,0.8,0.60-0.80,0.75-1.00
56,thermal_anomaly,3.8333333333333335,thermal_anomaly,0.9722740582509972,0.7278003513785443,1.141569079943083,gradual,thermal_anomaly,0.9722740582509973,0.9142018304617783,-0.0005780833084259252,True,True,0.0,3.3306690738754696e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|electronics_temp_measured|battery_temp_measured,0.6153465483706192,0.6,0.60-0.80,1.00-1.25
57,thermal_anomaly,3.683333333333333,thermal_anomaly,0.9239370859265912,0.4503064606328543,1.0730302528086022,gradual,thermal_anomaly,0.9239370859265911,0.8753089310425146,-0.0020210675867825545,True,True,0.0,1.1102230246251565e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|electronics_temp_measured|rule_pred_battery_voltage_sensor_drift,0.6228850536203577,0.8,0.40-0.60,1.00-1.25
