time_s,time_h,battery_temp_c,electronics_temp_c,battery_soc_percent,in_sunlight
31080.0,8.633333333333333,25.673974595295636,26.115529898033124,93.11588911574948,0
31140.0,8.65,25.678424541163746,26.107507771881448,92.56675052895498,0
31200.0,8.666666666666666,25.682529394212267,26.099379760513965,92.02014263003282,0
31260.0,8.683333333333334,25.686123964341817,26.091071012080807,91.47719189117932,0
31320.0,8.7,25.689070207253316,26.082518014488745,90.9388649491468,0
31380.0,8.716666666666667,25.691263485127905,26.073671343658987,90.40592635857907,0
31440.0,8.733333333333333,25.692636818256176,26.06449779629135,89.87890517730473,0
31500.0,8.75,25.69316300584849,26.054981813921017,89.3580718439714,0
31560.0,8.766666666666667,25.692854673235928,26.045126136028014,88.84342635857907,0
31620.0,8.783333333333333,25.691762452833085,26.03495165365364,88.33469828248013,0
31680.0,8.8,25.68997161053466,26.024496469919825,87.83135855784599,0
31740.0,8.816666666666666,25.687597479023548,26.013814208509512,87.33264263003281,0
31800.0,8.833333333333334,25.684780055665627,26.002971644033867,86.8375838622883,0
31860.0,8.85,25.681678075101367,25.992045757849006,86.34505578241614,0
31920.0,8.866666666666667,25.678462792010443,25.98112034799548,85.85382131501638,0
31980.0,8.883333333333333,25.67531162808407,25.970282341420777,85.36258684761663,0
32040.0,8.9,25.672401768975003,25.959617969656822,84.87005876774447,0
32100.0,8.916666666666666,25.669903757881706,25.949208975092,84.37499999999994,0
32160.0,8.933333333333334,25.66797513147712,25.939129013640308,83.87628407218678,0
32220.0,8.95,25.66675418151324,25.9294404110266,83.37294434755262,0
32280.0,8.966666666666667,25.666353993329356,25.920191414452237,82.86421627145369,0
32340.0,8.983333333333333,25.66685699519148,25.911414059754982,82.34957078606136,0
32400.0,9.0,25.667591377959557,25.91912274727694,82.72159459558517,1
32460.0,9.016666666666667,25.667854423340113,25.92718558868036,83.08929903414327,1
32520.0,9.033333333333333,25.66768189303565,25.935581577257068,83.45294543735125,1
32580.0,9.05,25.667133421047186,25.944272495143597,83.81304470132278,1
32640.0,9.066666666666666,25.66628914739687,25.953204604833402,84.1703342487858,1
32700.0,9.083333333333334,25.665245875805113,25.962311018802303,84.52574474655987,1
32760.0,9.1,25.664112975979997,25.971514643684475,84.88035803413348,1
32820.0,9.116666666666667,25.663008168425765,25.980731570325737,85.23535810886976,1
32880.0,9.133333333333333,25.66205324749975,25.989874761553867,85.59197731846623,1
32940.0,9.15,25.66136973607393,25.99885787649403,85.95144012235815,1
33000.0,9.166666666666666,25.661074437133397,26.007599064289646,86.3149068915526,1
33060.0,9.183333333333334,25.661274861099137,26.016024561426285,86.68342021619354,1
33120.0,9.2,25.662064560926552,26.02407193543946,87.05785608198632,1
33180.0,9.216666666666667,25.66351848984391,26.031692833242094,87.4388820651759,1
33240.0,9.233333333333333,25.66568859189552,26.03885511395779,87.82692439030929,1
33300.0,9.25,25.66859992244143,26.04554427304613,88.22214530886305,1
33360.0,9.266666666666667,25.67224765369786,26.051764095480124,88.62443180685374,1
33420.0,9.283333333333333,25.6765953324693,26.057536509430133,89.0333961554307,1
33480.0,9.3,25.681574713786357,26.062900646850107,89.44838830176873,1
33540.0,9.316666666666666,25.687087394793267,26.06791115202435,89.86851958090938,1
33600.0,9.333333333333334,25.693008327150082,26.072635812000588,90.29269673512056,1
33660.0,9.35,25.699191111070725,26.07715261247199,90.71966477744576,1
33720.0,9.366666666666667,25.705474793260446,26.08154634778148,91.14805685005544,1
33780.0,9.383333333333333,25.711691729771434,26.085904933208493,91.57644892266512,1
33840.0,9.4,25.71767595636398,26.090315580710236,92.00341696499031,1
33900.0,9.416666666666666,25.723271450638617,26.094861005256984,92.4275941192015,1
33960.0,9.433333333333334,25.728339680576912,26.099615827563973,92.84772539834213,1
34020.0,9.45,25.73276591169708,26.104643330438876,93.26271754468019,1
34080.0,9.466666666666667,25.736463878500484,26.109992710509214,93.67168189325714,1
34140.0,9.483333333333333,25.73937859604144,26.115696945443506,94.07396839124782,1
34200.0,9.5,25.741487270299334,26.12177136987996,94.46918930980158,1
34260.0,9.516666666666667,25.74279843665636,26.128213022302553,94.85723163493495,1
34320.0,9.533333333333333,25.74334959229866,26.135000791410285,95.23825761812455,1
34380.0,9.55,25.74320367526866,26.142096355583586,95.61269348391733,1
34440.0,9.566666666666666,25.742444773345024,26.149445874389873,95.98120680855826,1
34500.0,9.583333333333334,25.741173422461546,26.156982358202324,96.3446735777527,1
34560.0,9.6,25.73950178813372,26.164628612369295,96.70413638164462,1
34620.0,9.616666666666667,25.73754893182202,26.172300627261077,97.0607555912411,1
34680.0,9.633333333333333,25.73543626787731,26.179911266033724,97.41575566597737,1
34740.0,9.65,25.733283235574973,26.187374088938043,97.77036895355099,1
34800.0,9.666666666666666,25.7312031604251,26.19460714703411,98.12577945132504,1
34860.0,9.683333333333334,25.729299268151497,26.20153657950879,98.4830689987881,1
34920.0,9.7,25.727660843721328,26.208099857377306,98.84316826275963,1
34980.0,9.716666666666667,25.726359588449323,26.21424853180444,99.20681466596761,1
35040.0,9.733333333333333,25.72544630555659,26.21995036693164,99.5745191045257,1
35100.0,9.75,25.724948119713464,26.22519076399619,99.94654291404952,1
35160.0,9.766666666666667,25.724882796574917,26.229973414502584,100.0,1
35220.0,9.783333333333333,25.72522875938367,26.234320153900413,100.0,1
35280.0,9.8,25.72593541947806,26.238270022164624,100.0,1
35340.0,9.816666666666666,25.726927584813552,26.241877572336353,100.0,1
35400.0,9.833333333333334,25.728108748458023,26.245210500950094,100.0,1
35460.0,9.85,25.729365821108267,26.248346703909903,100.0,1
35520.0,9.866666666666667,25.73057506243036,26.251370886487887,100.0,1
35580.0,9.883333333333333,25.731608829011627,26.254370875605247,100.0,1
35640.0,9.9,25.732342657015973,26.257433795567813,100.0,1
35700.0,9.916666666666666,25.732662151254157,26.260642274395703,100.0,1
35760.0,9.933333333333334,25.728922889012917,26.248070846549584,99.50128407218682,0
35820.0,9.95,25.725872473227177,26.235910709272602,98.99794434755268,0
