time_s,time_min,in_sunlight,solar_power_w,load_power_w,battery_power_w,battery_voltage_v,battery_current_a,battery_soc,battery_soc_percent
12360.0,206.0,1,617.465323072968,335.13710349045215,-282.3282195825158,29.713909015933687,-9.501550921190514,0.9284772539834214,92.84772539834213
12420.0,207.0,1,617.1190172933127,338.24429495415046,-278.87472233916225,29.73050870178721,-9.380085794576333,0.9326271754468018,93.26271754468019
12480.0,208.0,1,616.6893093822022,341.86526713848394,-274.8240422437182,29.746867275730285,-9.238755788847056,0.9367168189325714,93.67168189325714
12540.0,209.0,1,616.178292833385,345.8417661836449,-270.33652664974005,29.762958735649914,-9.082985634957469,0.9407396839124782,94.07396839124782
12600.0,210.0,1,615.5884572681198,349.99999999999994,-265.58845726811984,29.778767572392063,-8.918718903409127,0.9446918930980157,94.46918930980158
12660.0,211.0,1,614.9226763059908,354.15823381635516,-260.7644424896356,29.7942892653974,-8.752161871251051,0.9485723163493495,94.85723163493495
12720.0,212.0,1,614.184193564921,358.1347328615159,-256.0494607034051,29.80953030472498,-8.589516778223768,0.9523825761812454,95.23825761812455
12780.0,213.0,1,613.376606858593,361.7557050458495,-251.62090181274357,29.824507739356694,-8.436716005900822,0.9561269348391732,95.61269348391733
12840.0,214.0,1,612.503850668262,364.86289650954785,-247.64095415871412,29.83924827234233,-8.299168661974965,0.9598120680855826,95.98120680855826
12900.0,215.0,1,611.5701769743577,367.32050807568874,-244.24966889866892,29.85378694311011,-8.181530516182598,0.963446735777527,96.3446735777527
12960.0,216.0,1,610.5801345412646,369.021130325903,-241.55900421536154,29.868165455265785,-8.087507234990706,0.9670413638164461,96.70413638164462
13020.0,217.0,1,609.5385467561977,369.8904379073655,-239.64810884883218,29.882430223649642,-8.019699437268967,0.970607555912411,97.0607555912411
13080.0,218.0,1,608.4504881301461,369.8904379073655,-238.56005022278066,29.896630226639097,-7.979496298222068,0.9741575566597738,97.41575566597737
13140.0,219.0,1,607.3212595753644,369.02113032590313,-238.30012924946124,29.91081475814204,-7.967022335444521,0.9777036895355098,97.77036895355099
13200.0,220.0,1,606.156362579862,367.32050807568874,-238.8358545041733,29.925031178053,-7.98113970485469,0.9812577945132505,98.12577945132504
13260.0,221.0,1,604.961472404706,364.8628965095479,-240.0985758951581,29.939322759951523,-8.019505912683071,0.9848306899878809,98.4830689987881
13320.0,222.0,1,603.7424104347197,361.7557050458495,-241.98670538887018,29.953726730510386,-8.07868441766835,0.9884316826275963,98.84316826275963
13380.0,223.0,1,602.5051158172813,358.13473286151617,-244.37038295576514,29.968272586638705,-8.154303263536024,0.9920681466596761,99.20681466596761
13440.0,224.0,1,601.2556165273943,354.15823381635516,-247.09738271103913,29.98298076418103,-8.24125475230376,0.995745191045257,99.5745191045257
13500.0,225.0,1,600.0,349.99999999999994,-250.00000000000006,29.99786171656198,-8.333927343293729,0.9994654291404952,99.94654291404952
13560.0,226.0,1,598.7443834726058,345.8417661836449,-252.90261728896093,30.0,-8.430087242965364,1.0,100.0
13620.0,227.0,1,597.4948841827188,341.86526713848394,-255.62961704423486,30.0,-8.520987234807828,1.0,100.0
13680.0,228.0,1,596.2575895652803,338.2442949541506,-258.01329461112977,30.0,-8.600443153704326,1.0,100.0
13740.0,229.0,1,595.038527595294,335.13710349045215,-259.90142410484185,30.0,-8.663380803494729,1.0,100.0
13800.0,230.0,1,593.843637420138,332.67949192431126,-261.1641454958267,30.0,-8.705471516527556,1.0,100.0
13860.0,231.0,1,592.6787404246356,330.9788696740969,-261.6998707505387,30.0,-8.723329025017957,1.0,100.0
13920.0,232.0,1,591.549511869854,330.1095620926345,-261.43994977721945,30.0,-8.714664992573981,1.0,100.0
13980.0,233.0,1,590.4614532438022,330.1095620926345,-260.3518911511677,30.0,-8.67839637170559,1.0,100.0
14040.0,234.0,1,589.4198654587356,330.97886967409687,-258.4409957846387,30.0,-8.614699859487956,1.0,100.0
14100.0,235.0,1,588.4298230256423,332.6794919243112,-255.75033110133114,30.0,-8.525011036711039,1.0,100.0
14160.0,236.0,0,0.0,335.13710349045215,335.13710349045215,29.980051362887473,11.178670090783129,0.9950128407218682,99.50128407218682
14220.0,237.0,0,0.0,338.24429495415046,338.24429495415046,29.959917773902106,11.289893967893093,0.9899794434755267,98.99794434755268
14280.0,238.0,0,0.0,341.86526713848406,341.86526713848406,29.93956865085815,11.418510103641232,0.9848921627145373,98.48921627145373
