time_s,time_min,time_h,in_sunlight,solar_power_w,load_power_w,battery_power_w,battery_soc_true,battery_soc_measured,battery_voltage_true,battery_voltage_measured,battery_current_true,battery_current_measured,battery_temp_true,battery_temp_measured,electronics_temp_true,electronics_temp_measured,battery_heat_w,electronics_heat_w,wheel_target_speed_rpm,wheel_speed_true,wheel_speed_measured,wheel_torque_nm,wheel_current_true,wheel_current_measured,wheel_temp_true,wheel_temp_measured,fault_label
36300.0,605.0,10.083333333333334,0,0.0,367.3205080756886,367.3205080756886,94.76589210107781,94.80338563551231,29.790635684043114,29.76055232735474,12.330066131231906,12.283983582460564,25.732251777947074,25.618336170393647,26.15560735541697,26.151286372727366,13.16244246404417,18.36602540378443,3433.012701892216,3359.107687380099,3363.4485712787323,0.0026228799942982915,0.21557199985745729,0.22008383694313388,22.27287402535361,22.323323014352276,nominal
36360.0,606.0,10.1,0,0.0,369.021130325903,369.021130325903,94.21675351428333,94.06924214146974,29.768670140571334,29.769406635543454,12.39629209445164,12.386651818550522,25.736169749330315,25.71605077298084,26.147264609606225,26.350977399302206,13.293444615277139,18.45105651629515,3475.528258147575,3417.317972763837,3408.5079715788193,0.0022274715765936495,0.20568678941484123,0.2045134053352299,22.273096476353366,22.37003638892906,nominal
36420.0,607.0,10.116666666666667,0,0.0,369.8904379073655,369.8904379073655,93.6663213150164,93.37314301600969,29.746652852600654,29.727340429842666,12.434691047097997,12.418819892170967,25.740318475217475,25.717989503012078,26.13907553652011,25.97947982055949,13.369723314942329,18.494521895368276,3497.2609476841367,3457.289460223987,3460.265890525677,0.001762172497196541,0.19405431242991353,0.19738574884247925,22.273330599712367,22.314000625713803,nominal
36480.0,608.0,10.133333333333333,0,0.0,369.8904379073655,369.8904379073655,93.11588911574948,92.94181438089126,29.724635564629978,29.727230888353596,12.443901527509611,12.416918320322539,25.744503413759865,25.711243747682715,26.130951976018686,26.346298768735775,13.388054818108483,18.494521895368276,3497.260947684136,3477.2752039540615,3477.7536808420427,0.0012473185586292955,0.18118296396573239,0.1752453310857965,22.2735535966151,22.287980423868213,nominal
36540.0,609.0,10.15,0,0.0,369.02113032590313,369.02113032590313,92.56675052895498,92.29639134374233,29.702670021158198,29.666699709382748,12.423836983780822,12.392603289702357,25.74853018671719,25.704099241497623,26.122806473243127,26.21650337280205,13.348138031964812,18.451056516295157,3475.528258147578,3476.4017310508193,3479.2937220409035,0.0007054113485506919,0.1676352837137673,0.17025026035500393,22.27374332194399,22.185829356696747,nominal
36600.0,610.0,10.166666666666666,0,0.0,367.32050807568885,367.32050807568885,92.02014263003282,91.91187975894569,29.680805705201312,29.68896573840781,12.37569194461992,12.356842345058267,25.75221440589239,25.72437776186228,26.11455607226475,26.158691941517745,13.252620088650431,18.366025403784445,3433.0127018922212,3454.7072164715205,3452.963353065514,0.0001601348124003841,0.1540033703100096,0.15513366825551972,22.273879257985907,22.401297534467474,nominal
36660.0,611.0,10.183333333333334,0,0.0,364.86289650954797,364.86289650954797,91.47719189117932,91.44282013138192,29.65908767564717,29.694467809938747,12.301892104696593,12.318673206715815,25.75539086595186,25.608666666603185,26.10612591333759,25.995912210411237,13.106923948447712,18.243144825477398,3371.5724127386993,3413.1398146051097,3408.97183518976,-0.00036467984866471416,0.15911699621661785,0.15484282163195393,22.27399263486707,22.266769455178526,nominal
36720.0,612.0,10.2,0,0.0,361.75570504584977,361.75570504584977,90.9388649491468,91.06179375876317,29.637554597965874,29.675209350467014,12.205990337363335,12.215235590025088,25.7579215074537,25.71335355184838,26.097452476535473,25.889228352172484,12.91889600926457,18.087785252292488,3293.8926261462443,3353.5162203756763,3353.869168252763,-0.0008460957156158263,0.17115239289039566,0.1712812438588706,22.274084123158378,22.288718423441495,nominal
36780.0,613.0,10.216666666666667,0,0.0,358.13473286151634,358.13473286151634,90.40592635857907,90.82717441811974,29.616237054343163,29.653454950728953,12.092513042908555,12.116064870456055,25.759701677527087,25.663493964519926,26.088486330009342,26.03718685508967,12.698309735433082,17.906736643075817,3203.3683215379083,3278.442270956793,3277.9680479221506,-0.0012630726049777277,0.18157681512444318,0.17769977950439142,22.274133714889174,22.314170876887985,nominal
36840.0,614.0,10.233333333333333,0,0.0,354.15823381635494,354.15823381635494,89.87890517730473,89.95028694714787,29.595156207092188,29.562506973300547,11.966763457443228,12.002667958716112,25.760664381500963,25.77089541488185,26.079194262750903,25.90628714807668,12.45627421171189,17.70791169081775,3103.955845408874,3191.199058182833,3190.9423438911085,-0.00159738662580827,0.18993466564520675,0.19134069792482128,22.274123345272574,22.351946734187432,nominal
